Disease,Code,FileStoreSharepointSite,FileStoreSharepointLibrary,JRFSharepointDirectory,AllocationsSharepointLibrary,AllocationsSharepointDirectory,TrackerSharepointSite,TrackerSharepointList
Avian Influenza,AIV,https://defra.sharepoint.com/sites/Community290/,RobTest,AIV Data/{0}/08. Central Store,RobTest,Admin/Allocations/Allocation Sheets/AIV,https://defra.sharepoint.com/sites/Community290,DEVTEST APHA/VDP JRF TRACKER
Bluetongue,BTD,https://defra.sharepoint.com/sites/Community290/,RobTest,BTD Data/{0}/08. Central Store,RobTest,Admin/Allocations/Allocation Sheets/BTD,,
